pcr_number,template,forward_primer,reverse_primer,f_tm,r_tm
PCR43,Negative_control,P044,P057,64.8,65.8
PCR44,gpdA_terminator,P058,P033,65.54,65.59
PCR45,Negative_control,P044,P059,64.8,65.8
PCR46,pkiA_terminator,P060,P037,64.96,65.34
PCR47,Negative_control,P044,P061,64.8,65.8
PCR48,mdhA_terminator,P062,P041,65.34,65.11
PCR49,PABA-UP,P001,P063,65.35,64.98
PCR50,ADH1_promoter,P064,P065,64.57,64.55
PCR51,dTomato,P066,P006,66.25,66.73
PCR52,dTomato,P066,P011,66.25,66.73
PCR53,dTomato,P066,P015,66.25,66.73
PCR54,dTomato,P066,P019,66.25,66.73
PCR55,dTomato,P066,P023,66.25,66.73
PCR56,dTomato,P066,P027,66.25,66.73
PCR57,dTomato,P066,P031,66.25,66.73
PCR58,dTomato,P066,P035,66.25,66.73
PCR59,dTomato,P066,P039,66.25,66.73
PCR60,ADH1_promoter,P064,P067,64.57,64.55
PCR61,Negative_control,P068,P045,64.8,65.8
PCR62,Negative_control,P068,P047,64.8,65.8
PCR63,Negative_control,P068,P049,64.8,65.8
PCR64,Negative_control,P068,P051,64.8,65.8
PCR65,Negative_control,P068,P053,64.8,65.8
PCR66,Negative_control,P068,P055,64.8,65.8
PCR67,Negative_control,P068,P057,64.8,65.8
PCR68,Negative_control,P068,P059,64.8,65.8
PCR69,Negative_control,P068,P061,64.8,65.8
PCR70,PABA-UP,P001,P069,65.35,64.98
PCR71,TDH3_promoter,P070,P071,65.54,65.59
PCR72,dTomato,P072,P006,66.25,66.73
PCR73,dTomato,P072,P011,66.25,66.73
PCR74,dTomato,P072,P015,66.25,66.73
PCR75,dTomato,P072,P019,66.25,66.73
PCR76,dTomato,P072,P023,66.25,66.73
PCR77,dTomato,P072,P027,66.25,66.73
PCR78,dTomato,P072,P031,66.25,66.73
PCR79,dTomato,P072,P035,66.25,66.73
PCR80,dTomato,P072,P039,66.25,66.73
PCR81,TDH3_promoter,P070,P073,65.54,65.59
PCR82,Negative_control,P074,P045,64.8,65.8
PCR83,Negative_control,P074,P047,64.8,65.8
PCR84,Negative_control,P074,P049,64.8,65.8
PCR85,Negative_control,P074,P051,64.8,65.8
PCR86,Negative_control,P074,P053,64.8,65.8
PCR87,Negative_control,P074,P055,64.8,65.8
PCR88,Negative_control,P074,P057,64.8,65.8
PCR89,Negative_control,P074,P059,64.8,65.8
PCR90,Negative_control,P074,P061,64.8,65.8
PCR91,PABA-UP,P001,P075,65.35,64.98
PCR92,ACT_promoter,P076,P077,64.93,64.91
PCR93,dTomato,P078,P006,66.25,66.73
PCR94,dTomato,P078,P011,66.25,66.73
PCR95,dTomato,P078,P015,66.25,66.73
PCR96,dTomato,P078,P019,66.25,66.73
PCR97,dTomato,P078,P023,66.25,66.73
PCR98,dTomato,P078,P027,66.25,66.73
PCR99,dTomato,P078,P031,66.25,66.73
PCR100,dTomato,P078,P035,66.25,66.73
PCR101,dTomato,P078,P039,66.25,66.73
PCR102,ACT_promoter,P076,P079,64.93,64.91
PCR103,Negative_control,P080,P045,64.8,65.8
PCR104,Negative_control,P080,P047,64.8,65.8
PCR105,Negative_control,P080,P049,64.8,65.8
PCR106,Negative_control,P080,P051,64.8,65.8
PCR107,Negative_control,P080,P053,64.8,65.8
PCR108,Negative_control,P080,P055,64.8,65.8
PCR109,Negative_control,P080,P057,64.8,65.8
PCR110,Negative_control,P080,P059,64.8,65.8
PCR111,Negative_control,P080,P061,64.8,65.8
PCR112,PABA-UP,P001,P081,65.35,64.98
PCR113,TEF1_promoter,P082,P083,65.45,65.38
PCR114,dTomato,P084,P006,66.25,66.73
PCR115,dTomato,P084,P011,66.25,66.73
PCR116,dTomato,P084,P015,66.25,66.73
PCR117,dTomato,P084,P019,66.25,66.73
PCR118,dTomato,P084,P023,66.25,66.73
PCR119,dTomato,P084,P027,66.25,66.73
PCR120,dTomato,P084,P031,66.25,66.73
PCR121,dTomato,P084,P035,66.25,66.73
PCR122,dTomato,P084,P039,66.25,66.73
PCR123,TEF1_promoter,P082,P085,65.45,65.38
PCR124,Negative_control,P086,P045,64.8,65.8
PCR125,Negative_control,P086,P047,64.8,65.8
PCR126,Negative_control,P086,P049,64.8,65.8
PCR127,Negative_control,P086,P051,64.8,65.8
PCR128,Negative_control,P086,P053,64.8,65.8
PCR129,Negative_control,P086,P055,64.8,65.8
PCR130,Negative_control,P086,P057,64.8,65.8
PCR131,Negative_control,P086,P059,64.8,65.8
PCR132,Negative_control,P086,P061,64.8,65.8
PCR133,PABA-UP,P001,P087,65.35,64.98
PCR134,DED1_promoter,P088,P089,65.01,64.98
PCR135,dTomato,P090,P006,66.25,66.73
PCR136,dTomato,P090,P011,66.25,66.73
PCR137,dTomato,P090,P015,66.25,66.73
PCR138,dTomato,P090,P019,66.25,66.73
PCR139,dTomato,P090,P023,66.25,66.73
PCR140,dTomato,P090,P027,66.25,66.73
PCR141,dTomato,P090,P031,66.25,66.73
PCR142,dTomato,P090,P035,66.25,66.73
PCR143,dTomato,P090,P039,66.25,66.73
PCR144,DED1_promoter,P088,P091,65.01,64.98
PCR145,Negative_control,P092,P045,64.8,65.8
PCR146,Negative_control,P092,P047,64.8,65.8
PCR147,Negative_control,P092,P049,64.8,65.8
PCR148,Negative_control,P092,P051,64.8,65.8
PCR149,Negative_control,P092,P053,64.8,65.8
PCR150,Negative_control,P092,P055,64.8,65.8
PCR151,Negative_control,P092,P057,64.8,65.8
PCR152,Negative_control,P092,P059,64.8,65.8
PCR153,Negative_control,P092,P061,64.8,65.8
PCR154,gpdA_promoter,P070,P071,65.54,65.59
PCR155,gpdA_promoter,P070,P073,65.54,65.59
PCR156,PABA-UP,P001,P093,65.35,64.98
PCR157,pkiA_promoter,P094,P095,64.83,65.21
PCR158,dTomato,P096,P006,66.25,66.73
PCR159,dTomato,P096,P011,66.25,66.73
PCR160,dTomato,P096,P015,66.25,66.73
PCR161,dTomato,P096,P019,66.25,66.73
PCR162,dTomato,P096,P023,66.25,66.73
PCR163,dTomato,P096,P027,66.25,66.73
PCR164,dTomato,P096,P031,66.25,66.73
PCR165,dTomato,P096,P035,66.25,66.73
PCR166,dTomato,P096,P039,66.25,66.73
PCR167,pkiA_promoter,P094,P097,64.83,65.21
PCR168,Negative_control,P098,P045,64.8,65.8
PCR169,Negative_control,P098,P047,64.8,65.8
PCR170,Negative_control,P098,P049,64.8,65.8
PCR171,Negative_control,P098,P051,64.8,65.8
PCR172,Negative_control,P098,P053,64.8,65.8
PCR173,Negative_control,P098,P055,64.8,65.8
PCR174,Negative_control,P098,P057,64.8,65.8
PCR175,Negative_control,P098,P059,64.8,65.8
PCR176,Negative_control,P098,P061,64.8,65.8
PCR177,PABA-UP,P001,P099,65.35,64.98
PCR178,mdhA_promoter,P100,P101,65.57,65.44
PCR179,dTomato,P102,P006,66.25,66.73
PCR180,dTomato,P102,P011,66.25,66.73
PCR181,dTomato,P102,P015,66.25,66.73
PCR182,dTomato,P102,P019,66.25,66.73
PCR183,dTomato,P102,P023,66.25,66.73
PCR184,dTomato,P102,P027,66.25,66.73
PCR185,dTomato,P102,P031,66.25,66.73
PCR186,dTomato,P102,P035,66.25,66.73
PCR187,dTomato,P102,P039,66.25,66.73
PCR188,mdhA_promoter,P100,P103,65.57,65.44
PCR189,Negative_control,P104,P045,64.8,65.8
PCR190,Negative_control,P104,P047,64.8,65.8
PCR191,Negative_control,P104,P049,64.8,65.8
PCR192,Negative_control,P104,P051,64.8,65.8
PCR193,Negative_control,P104,P053,64.8,65.8
PCR194,Negative_control,P104,P055,64.8,65.8
PCR195,Negative_control,P104,P057,64.8,65.8
PCR196,Negative_control,P104,P059,64.8,65.8
PCR197,Negative_control,P104,P061,64.8,65.8
PCR198,PABA-UP,P001,P105,65.35,64.98
PCR199,synthetic_temp=0.50,P106,P107,65.27,65.27
PCR200,dTomato,P108,P006,66.25,66.73
PCR201,dTomato,P108,P011,66.25,66.73
PCR202,dTomato,P108,P015,66.25,66.73
PCR203,dTomato,P108,P019,66.25,66.73
PCR204,dTomato,P108,P023,66.25,66.73
PCR205,dTomato,P108,P027,66.25,66.73
PCR206,dTomato,P108,P031,66.25,66.73
PCR207,dTomato,P108,P035,66.25,66.73
PCR208,dTomato,P108,P039,66.25,66.73
PCR209,synthetic_temp=0.50,P106,P109,65.27,65.27
PCR210,Negative_control,P110,P045,64.8,65.8
PCR211,Negative_control,P110,P047,64.8,65.8
PCR212,Negative_control,P110,P049,64.8,65.8
PCR213,Negative_control,P110,P051,64.8,65.8
PCR214,Negative_control,P110,P053,64.8,65.8
PCR215,Negative_control,P110,P055,64.8,65.8
PCR216,Negative_control,P110,P057,64.8,65.8
PCR217,Negative_control,P110,P059,64.8,65.8
PCR218,Negative_control,P110,P061,64.8,65.8
PCR219,PABA-UP,P001,P111,65.35,64.98
PCR220,synthetic_temp=1.60,P112,P113,64.28,64.55
PCR221,dTomato,P114,P006,66.25,66.73
PCR222,dTomato,P114,P011,66.25,66.73
PCR223,dTomato,P114,P015,66.25,66.73
PCR224,dTomato,P114,P019,66.25,66.73
PCR225,dTomato,P114,P023,66.25,66.73
PCR226,dTomato,P114,P027,66.25,66.73
PCR227,dTomato,P114,P031,66.25,66.73
PCR228,dTomato,P114,P035,66.25,66.73
PCR229,dTomato,P114,P039,66.25,66.73
PCR230,synthetic_temp=1.60,P112,P115,64.28,64.55
PCR231,Negative_control,P116,P045,64.8,65.8
PCR232,Negative_control,P116,P047,64.8,65.8
PCR233,Negative_control,P116,P049,64.8,65.8
PCR234,Negative_control,P116,P051,64.8,65.8
PCR235,Negative_control,P116,P053,64.8,65.8
PCR236,Negative_control,P116,P055,64.8,65.8
PCR237,Negative_control,P116,P057,64.8,65.8
PCR238,Negative_control,P116,P059,64.8,65.8
PCR239,Negative_control,P116,P061,64.8,65.8
PCR240,PABA-UP,P001,P117,65.35,64.98
PCR241,synthetic_temp=1.80,P118,P119,64.87,64.89
PCR242,dTomato,P120,P006,66.25,66.73
PCR243,dTomato,P120,P011,66.25,66.73
PCR244,dTomato,P120,P015,66.25,66.73
PCR245,dTomato,P120,P019,66.25,66.73
PCR246,dTomato,P120,P023,66.25,66.73
PCR247,dTomato,P120,P027,66.25,66.73
PCR248,dTomato,P120,P031,66.25,66.73
PCR249,dTomato,P120,P035,66.25,66.73
PCR250,dTomato,P120,P039,66.25,66.73
PCR251,synthetic_temp=1.80,P118,P121,64.87,64.89
PCR252,Negative_control,P122,P045,64.8,65.8
PCR253,Negative_control,P122,P047,64.8,65.8
PCR254,Negative_control,P122,P049,64.8,65.8
PCR255,Negative_control,P122,P051,64.8,65.8
PCR256,Negative_control,P122,P053,64.8,65.8
PCR257,Negative_control,P122,P055,64.8,65.8
PCR258,Negative_control,P122,P057,64.8,65.8
PCR259,Negative_control,P122,P059,64.8,65.8
PCR260,Negative_control,P122,P061,64.8,65.8
PCR261,PABA-UP,P001,P123,65.35,64.98
PCR262,synthetic_temp=2.50,P124,P125,65.48,66.22
PCR263,dTomato,P126,P006,66.25,66.73
PCR264,dTomato,P126,P011,66.25,66.73
PCR265,dTomato,P126,P015,66.25,66.73
PCR266,dTomato,P126,P019,66.25,66.73
PCR267,dTomato,P126,P023,66.25,66.73
PCR268,dTomato,P126,P027,66.25,66.73
PCR269,dTomato,P126,P031,66.25,66.73
PCR270,dTomato,P126,P035,66.25,66.73
PCR271,dTomato,P126,P039,66.25,66.73
PCR272,synthetic_temp=2.50,P124,P127,65.48,66.22
PCR273,Negative_control,P128,P045,64.8,65.8
PCR274,Negative_control,P128,P047,64.8,65.8
PCR275,Negative_control,P128,P049,64.8,65.8
PCR276,Negative_control,P128,P051,64.8,65.8
PCR277,Negative_control,P128,P053,64.8,65.8
PCR278,Negative_control,P128,P055,64.8,65.8
PCR279,Negative_control,P128,P057,64.8,65.8
PCR280,Negative_control,P128,P059,64.8,65.8
PCR281,Negative_control,P128,P061,64.8,65.8
PCR282,PABA-UP,P001,P129,65.35,64.98
PCR283,synthetic_temp=3.00,P130,P131,65.25,64.99
PCR284,dTomato,P132,P006,66.25,66.73
PCR285,dTomato,P132,P011,66.25,66.73
PCR286,dTomato,P132,P015,66.25,66.73
PCR287,dTomato,P132,P019,66.25,66.73
PCR288,dTomato,P132,P023,66.25,66.73
PCR289,dTomato,P132,P027,66.25,66.73
PCR290,dTomato,P132,P031,66.25,66.73
PCR291,dTomato,P132,P035,66.25,66.73
PCR292,dTomato,P132,P039,66.25,66.73
PCR293,synthetic_temp=3.00,P130,P133,65.25,64.99
PCR294,Negative_control,P134,P045,64.8,65.8
PCR295,Negative_control,P134,P047,64.8,65.8
PCR296,Negative_control,P134,P049,64.8,65.8
PCR297,Negative_control,P134,P051,64.8,65.8
PCR298,Negative_control,P134,P053,64.8,65.8
PCR299,Negative_control,P134,P055,64.8,65.8
PCR300,Negative_control,P134,P057,64.8,65.8
PCR301,Negative_control,P134,P059,64.8,65.8
PCR302,Negative_control,P134,P061,64.8,65.8
PCR303,PABA-UP,P001,P135,65.35,64.98
PCR304,synthetic_temp=3.10,P136,P137,64.78,64.35
PCR305,dTomato,P138,P006,66.25,66.73
PCR306,dTomato,P138,P011,66.25,66.73
PCR307,dTomato,P138,P015,66.25,66.73
PCR308,dTomato,P138,P019,66.25,66.73
PCR309,dTomato,P138,P023,66.25,66.73
PCR310,dTomato,P138,P027,66.25,66.73
PCR311,dTomato,P138,P031,66.25,66.73
PCR312,dTomato,P138,P035,66.25,66.73
PCR313,dTomato,P138,P039,66.25,66.73
PCR314,synthetic_temp=3.10,P136,P139,64.78,64.35
PCR315,Negative_control,P140,P045,64.8,65.8
PCR316,Negative_control,P140,P047,64.8,65.8
PCR317,Negative_control,P140,P049,64.8,65.8
PCR318,Negative_control,P140,P051,64.8,65.8
PCR319,Negative_control,P140,P053,64.8,65.8
PCR320,Negative_control,P140,P055,64.8,65.8
PCR321,Negative_control,P140,P057,64.8,65.8
PCR322,Negative_control,P140,P059,64.8,65.8
PCR323,Negative_control,P140,P061,64.8,65.8
PCR324,PABA-UP,P001,P141,65.35,64.98
PCR325,synthetic_temp=3.40,P142,P143,64.85,65.17
PCR326,dTomato,P144,P006,66.25,66.73
PCR327,dTomato,P144,P011,66.25,66.73
PCR328,dTomato,P144,P015,66.25,66.73
PCR329,dTomato,P144,P019,66.25,66.73
PCR330,dTomato,P144,P023,66.25,66.73
PCR331,dTomato,P144,P027,66.25,66.73
PCR332,dTomato,P144,P031,66.25,66.73
PCR333,dTomato,P144,P035,66.25,66.73
PCR334,dTomato,P144,P039,66.25,66.73
PCR335,synthetic_temp=3.40,P142,P145,64.85,65.17
PCR336,Negative_control,P146,P045,64.8,65.8
PCR337,Negative_control,P146,P047,64.8,65.8
PCR338,Negative_control,P146,P049,64.8,65.8
PCR339,Negative_control,P146,P051,64.8,65.8
PCR340,Negative_control,P146,P053,64.8,65.8
PCR341,Negative_control,P146,P055,64.8,65.8
PCR342,Negative_control,P146,P057,64.8,65.8
PCR343,Negative_control,P146,P059,64.8,65.8
PCR344,Negative_control,P146,P061,64.8,65.8
PCR345,PABA-UP,P001,P147,65.35,64.98
PCR346,synthetic_temp=3.50,P148,P149,64.88,64.77
PCR347,dTomato,P150,P006,66.25,66.73
PCR348,dTomato,P150,P011,66.25,66.73
PCR349,dTomato,P150,P015,66.25,66.73
PCR350,dTomato,P150,P019,66.25,66.73
PCR351,dTomato,P150,P023,66.25,66.73
PCR352,dTomato,P150,P027,66.25,66.73
PCR353,dTomato,P150,P031,66.25,66.73
PCR354,dTomato,P150,P035,66.25,66.73
PCR355,dTomato,P150,P039,66.25,66.73
PCR356,synthetic_temp=3.50,P148,P151,64.88,64.77
PCR357,Negative_control,P152,P045,64.8,65.8
PCR358,Negative_control,P152,P047,64.8,65.8
PCR359,Negative_control,P152,P049,64.8,65.8
PCR360,Negative_control,P152,P051,64.8,65.8
PCR361,Negative_control,P152,P053,64.8,65.8
PCR362,Negative_control,P152,P055,64.8,65.8
PCR363,Negative_control,P152,P057,64.8,65.8
PCR364,Negative_control,P152,P059,64.8,65.8
PCR365,Negative_control,P152,P061,64.8,65.8
PCR366,PABA-UP,P001,P153,65.35,64.98
PCR367,synthetic_temp=3.60,P154,P155,65.29,64.12
PCR368,dTomato,P156,P006,66.25,66.73
PCR369,dTomato,P156,P011,66.25,66.73
PCR370,dTomato,P156,P015,66.25,66.73
PCR371,dTomato,P156,P019,66.25,66.73
PCR372,dTomato,P156,P023,66.25,66.73
PCR373,dTomato,P156,P027,66.25,66.73
PCR374,dTomato,P156,P031,66.25,66.73
PCR375,dTomato,P156,P035,66.25,66.73
PCR376,dTomato,P156,P039,66.25,66.73
PCR377,synthetic_temp=3.60,P154,P157,65.29,64.12
PCR378,Negative_control,P158,P045,64.8,65.8
PCR379,Negative_control,P158,P047,64.8,65.8
PCR380,Negative_control,P158,P049,64.8,65.8
PCR381,Negative_control,P158,P051,64.8,65.8
PCR382,Negative_control,P158,P053,64.8,65.8
PCR383,Negative_control,P158,P055,64.8,65.8
PCR384,Negative_control,P158,P057,64.8,65.8
PCR385,Negative_control,P158,P059,64.8,65.8
PCR386,Negative_control,P158,P061,64.8,65.8
PCR387,PABA-UP,P001,P159,65.35,64.98
PCR388,synthetic_temp=3.90,P160,P161,65.37,65.76
PCR389,dTomato,P162,P006,66.25,66.73
PCR390,dTomato,P162,P011,66.25,66.73
PCR391,dTomato,P162,P015,66.25,66.73
PCR392,dTomato,P162,P019,66.25,66.73
PCR393,dTomato,P162,P023,66.25,66.73
PCR394,dTomato,P162,P027,66.25,66.73
PCR395,dTomato,P162,P031,66.25,66.73
PCR396,dTomato,P162,P035,66.25,66.73
PCR397,dTomato,P162,P039,66.25,66.73
PCR398,synthetic_temp=3.90,P160,P163,65.37,65.76
PCR399,Negative_control,P164,P045,64.8,65.8
PCR400,Negative_control,P164,P047,64.8,65.8
PCR401,Negative_control,P164,P049,64.8,65.8
PCR402,Negative_control,P164,P051,64.8,65.8
PCR403,Negative_control,P164,P053,64.8,65.8
PCR404,Negative_control,P164,P055,64.8,65.8
PCR405,Negative_control,P164,P057,64.8,65.8
PCR406,Negative_control,P164,P059,64.8,65.8
PCR407,Negative_control,P164,P061,64.8,65.8
